!!SBtab	Document='covid19' TableName='Observations' TableType='QuantityMatrix TableTitle='taken from wikipedia article'															
!TimePoint	!Time	>INFCT	SDINFCT	>REC	SDREC	>DEAD	SDDEAD	>KRIT	SDKRIT	%	%Cases	%Population of Sweden	%Recoveries	%Deaths	%new iva cases	%cumulative iva cases
2020/03/12	41	6.126482213438736E-05	0.00036363636363636367	1.976284584980237E-07	1.7786561264822134E-06	9.881422924901186E-08	7.411067193675889E-07	7.905138339920948E-07	2.776679841897233E-06	%	620		2	1	1	8
2020/03/13	42	7.658102766798419E-05	0.0003789525691699605	1.976284584980237E-07	1.7786561264822134E-06	1.976284584980237E-07	7.509881422924901E-07	1.0869565217391303E-06	2.8063241106719366E-06	%	775		2	2	3	11
2020/03/14	43	9.130434782608696E-05	0.00039367588932806325	1.976284584980237E-07	1.7786561264822134E-06	1.976284584980237E-07	7.509881422924901E-07	1.6798418972332015E-06	2.8656126482213435E-06	%	924		2	2	6	17
2020/03/15	44	9.802371541501977E-05	0.00040039525691699604	1.976284584980237E-07	1.7786561264822134E-06	2.9644268774703555E-07	7.608695652173913E-07	2.3715415019762844E-06	2.934782608695652E-06	%	992		2	3	7	24
2020/03/16	45	0.00010464426877470355	0.00040701581027667984	1.976284584980237E-07	1.7786561264822134E-06	6.91699604743083E-07	8.00395256916996E-07	2.9644268774703556E-06	2.994071146245059E-06	%	1059		2	7	6	30
2020/03/17	46	0.00011531620553359683	0.00041768774703557313	1.976284584980237E-07	1.7786561264822134E-06	7.905138339920948E-07	8.102766798418973E-07	3.2608695652173914E-06	3.0237154150197626E-06	%	1167		2	8	3	33
2020/03/18	47	0.00012638339920948617	0.00042875494071146244	1.976284584980237E-07	1.7786561264822134E-06	9.881422924901185E-07	8.300395256916996E-07	4.743083003952569E-06	3.1719367588932803E-06	%	1279		2	10	15	48
2020/03/19	48	0.00014061264822134387	0.00044298418972332017	1.5810276679841897E-06	3.1620553359683794E-06	1.0869565217391303E-06	8.399209486166008E-07	6.027667984189723E-06	3.3003952569169957E-06	%	1423		16	11	13	61
2020/03/20	49	0.00016037549407114625	0.0004627470355731226	1.5810276679841897E-06	3.1620553359683794E-06	1.5810276679841897E-06	8.893280632411067E-07	8.399209486166007E-06	3.5375494071146245E-06	%	1623		16	16	24	85
2020/03/21	50	0.0001725296442687747	0.000474901185770751	1.5810276679841897E-06	3.1620553359683794E-06	1.976284584980237E-06	9.288537549407115E-07	1.007905138339921E-05	3.7055335968379445E-06	%	1746		16	20	17	102
2020/03/22	51	0.0001883399209486166	0.0004907114624505929	1.5810276679841897E-06	3.1620553359683794E-06	2.2727272727272728E-06	9.58498023715415E-07	1.274703557312253E-05	3.972332015810277E-06	%	1906		16	23	27	129
2020/03/23	52	0.0001992094861660079	0.0005015810276679842	1.5810276679841897E-06	3.1620553359683794E-06	3.2608695652173914E-06	1.0573122529644268E-06	1.699604743083004E-05	4.397233201581028E-06	%	2016		16	33	43	172
2020/03/24	53	0.00022717391304347825	0.0005295454545454545	1.5810276679841897E-06	3.1620553359683794E-06	3.952569169960474E-06	1.126482213438735E-06	2.124505928853755E-05	4.822134387351779E-06	%	2299		16	40	43	215
2020/03/25	54	0.000250098814229249	0.0005524703557312253	1.5810276679841897E-06	3.1620553359683794E-06	6.225296442687747E-06	1.3537549407114624E-06	2.450592885375494E-05	5.148221343873518E-06	%	2531		16	63	33	248
2020/03/26	55	0.0003023715415019763	0.0006047430830039526	1.5810276679841897E-06	3.1620553359683794E-06	7.312252964426878E-06	1.4624505928853755E-06	2.6976284584980236E-05	5.395256916996047E-06	%	3060		16	74	25	273
