!!SBtab	Document='covid19' TableName='Sweden' TableType='QuantityMatrix' TableTitle='taken from folkhälsomyndigheten 2020-04-05'																			
!TimePoint	!Time	>INFCT	SDINFCT	>REC	SDREC	>DEAD	SDDEAD	>KRIT	SDKRIT	>NEQ0	SDNEQ0	>NEQ1	SDNEQ1	%	%new cases	%Cases	%Recoveries	%Deaths	%new iva cases	%cumulative iva cases
2020/03/22	51	0.0002141304347826087	inf	1.5810276679841897E-06	inf	4.940711462450593E-06	9.140316205533597E-07	1.0276679841897233E-05	1.7341897233201583E-06	1	0.5	1	0.5	%	182	2167	16	50	21	104
2020/03/23	52	0.00023685770750988142	inf	1.5810276679841897E-06	inf	6.027667984189723E-06	9.683794466403164E-07	1.4031620553359683E-05	1.921936758893281E-06	1	0.5	1	0.5	%	230	2397	16	61	38	142
2020/03/24	53	0.00026788537549407115	inf	1.5810276679841897E-06	inf	8.00395256916996E-06	1.067193675889328E-06	1.7391304347826085E-05	2.089920948616601E-06	1	0.5	1	0.5	%	314	2711	16	81	34	176
2020/03/25	54	0.0002960474308300395	inf	1.5810276679841897E-06	inf	1.0474308300395257E-05	1.190711462450593E-06	2.0454545454545454E-05	2.243083003952569E-06	1	0.5	1	0.5	%	285	2996	16	106	31	207
2020/03/26	55	0.00033221343873517784	inf	1.5810276679841897E-06	inf	1.3339920948616601E-05	1.3339920948616601E-06	2.440711462450593E-05	2.440711462450593E-06	1	0.5	1	0.5	%	366	3362	16	135	40	247
2020/03/27	56	0.00036195652173913044	inf	0		1.650197628458498E-05									301	3663		167	27	274
2020/03/28	57	0.00038972332015810274	inf	0		1.9960474308300394E-05									281	3944		202	28	302
2020/03/29	58	0.00043063241106719365	inf	0		2.3715415019762845E-05									414	4358		240	40	342
2020/03/30	59	0.0004774703557312253	inf	0		2.8063241106719366E-05									474	4832		284	31	373
2020/03/31	60	0.000525395256916996	inf	0		3.25098814229249E-05									485	5317		329	31	404
2020/04/01	61	0.0005802371541501976	inf	0		3.7450592885375494E-05									555	5872		379	42	446
2020/04/02	62	0.0006286561264822135	inf	0		4.407114624505929E-05									490	6362		446	39	485
2020/04/03	63	0.0006366600790513834	inf	0		5.177865612648221E-05									81	6443		524	29	514
2020/04/04	64	0				5.849802371541502E-05												592		
2020/04/05	65					6.650197628458499E-05												673		
2020/04/06	66	0.025	0.002			7.519762845849803E-05												761		
2020/04/07	67					8.280632411067194E-05												838		
2020/04/08	68					9.278656126482214E-05												939		
2020/04/09	69					0.0001												1012		
2020/04/10	70					0.00010721343873517787												1085		
2020/04/11	71					0.00011442687747035573												1158		
2020/04/12	72					0.00012193675889328063												1234		
2020/04/13	73					0.00012806324110671937												1296		
2020/04/14	74					0.00013399209486166007												1356		
2020/04/15	75					0.00013942687747035574												1411		
2020/04/16	76					0.00014525691699604742												1470		
2020/04/17	77					0.00014723320158102767												1490		
2020/04/18	78					0.00014743083003952568												1492		
