!!SBtab	Document='covid19' TableName='Input' TableTitle='The model has conservation laws that were automatically determined, these are the conserved constants' TableType='Quantity'					
!ID	!Name	!DefaultValue	!Unit	!ConservationLaw	!Comment	%Explanation
U0	distancing_on	0	1	0	social distancing on (1) or off (0)	%  a switch that can be flipped mid-simulation
CLU1	Susceptible_ConservedConst	1	1	1	Susceptible_ConservedConst = Susceptible+1*Exposed+1*Infectious+1*Krit+1*Recovered+1*Dead	% This is a constant that is used to calculate the Suscpetible population, not th epopulation itself
